idx,q_0,q_1,q_2,q_3,q_4,q_5,q_6,q_7,samples,SR,session_id,notes
108, 0.3938365578651428, 0.001440998399630189, 0.01542983390390873, -1.558777928352356, -0.04219697415828705, 1.5483627319335938, -0.028615931048989296, 0.0, 80896, 16000, 10, different day
109, 0.35255664587020874, 0.003306399332359433, 0.015565048903226852, -1.5564029216766357, -0.04220350459218025, 1.5483613014221191, -0.028616681694984436, 0.0, 80896, 16000, 10, different day
110, 0.31610792875289917, -0.0014846783597022295, 0.0042467606253921986, -1.5620429515838623, -0.04220559448003769, 1.5483276844024658, -0.02890794910490513, 0.0, 80896, 16000, 11, possibly faulty
111, 0.2795284390449524, 0.00029910492594353855, 0.00444794213399291, -1.5614449977874756, -0.042179036885499954, 1.5483652353286743, -0.02890264242887497, 0.0, 80896, 16000, 12, 
112, 0.22013311088085175, -0.000640565063804388, 0.004528135061264038, -1.5608841180801392, -0.04217832535505295, 1.548374891281128, -0.02888806164264679, 0.0, 80896, 16000, 12, 
113, 0.16586589813232422, -0.0013920003548264503, 0.00450265035033226, -1.5557746887207031, -0.042186930775642395, 1.5483702421188354, -0.02888653613626957, 0.0, 80896, 16000, 12, 
114, 0.12250418215990067, -0.0009104281780309975, 0.004516140557825565, -1.5558019876480103, -0.04218071699142456, 1.5483660697937012, -0.02889580838382244, 0.0, 80896, 16000, 12, 
115, 0.08467821031808853, -0.0014686991926282644, 0.004515352193266153, -1.5557854175567627, -0.04218902811408043, 1.5483630895614624, -0.028885165229439735, 0.0, 80896, 16000, 12, 
116, 0.08467662334442139, -0.0014686991926282644, 0.004515352193266153, -1.5557870864868164, -0.042188216000795364, 1.5483630895614624, -0.028885995969176292, 0.0, 80896, 16000, 13, 
117, 0.014070477336645126, -0.0014297815505415201, 0.0039307852275669575, -1.5502108335494995, -0.04218223690986633, 1.5483672618865967, -0.028890546411275864, 0.0, 80896, 16000, 13, 
118, -0.03973007574677467, -0.002038119360804558, 0.0034371227957308292, -1.549677848815918, -0.04218251258134842, 1.548367977142334, -0.028891026973724365, 0.0, 80896, 16000, 13, 
119, -0.08142708986997604, -0.002226644428446889, 0.003414897248148918, -1.5496917963027954, -0.04218906909227371, 1.5483616590499878, -0.02889508195221424, 0.0, 80896, 16000, 13, 
120, -0.11502044647932053, -0.00528671545907855, 0.0034185166005045176, -1.548216700553894, -0.042188119143247604, 1.548401117324829, -0.02888324297964573, 0.0, 80896, 16000, 13, 
121, -0.15711377561092377, -0.006108033005148172, 0.003416846040636301, -1.5460164546966553, -0.04219043627381325, 1.548413634300232, -0.028889881446957588, 0.0, 80896, 16000, 13, 
122, -0.19567520916461945, -0.005723292473703623, 0.002991805551573634, -1.5460450649261475, -0.042199552059173584, 1.5484040975570679, -0.028855711221694946, 0.0, 80896, 16000, 13, 
123, -0.2335272878408432, -0.0057640885934233665, 0.003009218256920576, -1.546015739440918, -0.0421924814581871, 1.5484033823013306, -0.02886846847832203, 0.0, 80896, 16000, 13, 
124, -0.28103163838386536, -0.005726214498281479, 0.00300404941663146, -1.5460238456726074, -0.04219319671392441, 1.54840886592865, -0.02886185608804226, 0.0, 80896, 16000, 13, 
125, -0.3217659294605255, -0.005770228803157806, 0.002930138260126114, -1.5460143089294434, -0.04219568148255348, 1.5484026670455933, -0.028866007924079895, 0.0, 80896, 16000, 14, people are quite
126, -0.37175726890563965, -0.006729967426508665, 0.0029210371430963278, -1.5449048280715942, -0.04220309108495712, 1.5484026670455933, -0.02885819412767887, 0.0, 80896, 16000, 14, people are quite
127, -0.4277036786079407, -0.00680514145642519, 0.0029206830076873302, -1.5447280406951904, -0.042196664959192276, 1.548399567604065, -0.028860025107860565, 0.0, 80896, 16000, 14, people are quite
128, -0.4809127151966095, 0.0026693667750805616, -0.011192652396857738, -1.57748281955719, -0.042196664959192276, 1.5415229797363281, -0.029881741851568222, 0.0, 80896, 16000, 14, people are quite
129, -0.5123168230056763, 0.0013594592455774546, -0.01116541400551796, -1.5732884407043457, -0.042196664959192276, 1.54579758644104, -0.029870059341192245, 0.0, 80896, 16000, 14, people are quite
130, -0.5486153364181519, 0.0012509210500866175, -0.013133600354194641, -1.5731384754180908, -0.042197272181510925, 1.546895980834961, -0.029865974560379982, 0.0, 80896, 16000, 14, people are quite
131, -0.5783913731575012, 0.0012300758389756083, 0.007584460079669952, -1.5732040405273438, -0.0421912707388401, 1.5468740463256836, -0.029865972697734833, 0.0, 80896, 16000, 14, people are quite
132, -0.6243202686309814, -0.006406344473361969, 0.006271102465689182, -1.5731264352798462, -0.04219462722539902, 1.5468900203704834, -0.02959529124200344, 0.0, 80896, 16000, 14, people are quite
133, -0.6691763401031494, -0.006526114884763956, 0.00037654495099559426, -1.5731290578842163, -0.04219594970345497, 1.5468846559524536, -0.029597923159599304, 0.0, 80896, 16000, 14, people are quite
134, -0.7105165719985962, -0.006541620474308729, 0.00035222520818933845, -1.5734405517578125, -0.04219594970345497, 1.546865463256836, -0.029596397653222084, 0.0, 80896, 16000, 14, people are quite
135, -0.7715631127357483, 0.012621298432350159, 0.00635587377473712, -1.5789012908935547, -0.04218107461929321, 1.5465391874313354, -0.029609743505716324, 0.0, 80896, 16000, 15, 
136, -0.8193729519844055, 0.007395644206553698, 0.0003255569899920374, -1.578020453453064, -0.04219513386487961, 1.5465779304504395, -0.02960270456969738, 0.0, 80896, 16000, 15, 
