Modelname,Rotated,True,Predicted
Linear,1,-1.2502285714285717,-1.445666179302005
Linear,0,-1.2502285714285717,-1.695793140040131
Linear,1,-1.2502285714285717,-0.7424527863813934
Linear,0,-1.2502285714285717,-0.5696993286434128
Linear,1,-1.2502285714285717,-0.8371017140569476
Linear,0,-1.2502285714285717,-1.2361691674528645
Linear,1,-1.2502285714285717,-0.9907192079960279
Linear,0,-1.2502285714285717,-0.8126141515109403
Linear,1,-1.2502285714285717,-0.6600345009388917
Linear,0,-1.2502285714285717,-0.7976229167606429
Linear,1,-1.2502285714285717,-0.6915220060727849
Linear,0,-1.2502285714285717,-0.8953703044256234
Linear,1,-1.2502285714285717,-0.9908421140722723
Linear,0,-1.2502285714285717,-1.1721815178712287
Linear,1,-1.2502285714285717,-0.8186589689178567
Linear,0,-1.2502285714285717,-1.117638670049413
Linear,1,-1.2502285714285717,-1.1850416917237223
Linear,0,-1.2502285714285717,-0.8911321828290519
Linear,1,-1.2502285714285717,-1.0362280375623556
Linear,0,-1.2502285714285717,-0.8875057855609871
Linear,1,-1.2502285714285717,-1.0858482277890888
Linear,0,-1.2502285714285717,-0.8973407627646767
Linear,1,-1.2502285714285717,-1.222786138241026
Linear,0,-1.2502285714285717,-1.1130334235180774
Linear,1,-1.2502285714285717,-1.2378775839298617
Linear,0,-1.2502285714285717,-1.2337158969610893
Linear,1,-1.2502285714285717,-0.5216261737436416
Linear,0,-1.2502285714285717,-1.0722469122356841
Linear,1,-1.2502285714285717,-1.2892286174226166
Linear,0,-1.2502285714285717,-1.0943847642977014
Linear,1,-1.2502285714285717,-1.265254472929502
Linear,0,-1.2502285714285717,-1.2129205186950658
Linear,1,-1.2502285714285717,-1.206554480403881
Linear,0,-1.2502285714285717,-1.0614484733029916
Linear,1,-1.2502285714285717,-0.4696519119968544
Linear,0,-1.2502285714285717,-0.7804362531143859
Linear,1,-1.2502285714285717,-0.6103648019407445
Linear,0,-1.2502285714285717,-0.7847418640636848
Linear,1,-1.2502285714285717,-0.8258068177799237
Linear,0,-1.2502285714285717,-1.1423793531836042
Linear,1,-1.2502285714285717,-0.8979317487924702
Linear,0,-1.2502285714285717,-0.6529961560564628
Linear,1,-1.2502285714285717,-1.2235078362020222
Linear,0,-1.2502285714285717,-1.2570486665687783
Linear,1,-1.2502285714285717,-0.606420697167027
Linear,0,-1.2502285714285717,-0.8944341596727649
Linear,1,-1.2502285714285717,-0.47871089376816506
Linear,0,-1.2502285714285717,-1.137478680205506
Linear,1,-1.2502285714285717,-1.2021529257148211
Linear,0,-1.2502285714285717,-1.2949687698307988
Linear,1,-1.2502285714285717,-1.3542925388486537
Linear,0,-1.2502285714285717,-0.6882447346239123
Linear,1,-1.2502285714285717,-1.0355401224929681
Linear,0,-1.2502285714285717,-1.1097859159255241
Linear,1,-1.2502285714285717,-1.230366336387629
Linear,0,-1.2502285714285717,-1.077057482660873
Linear,1,-1.2502285714285717,-0.8533454411915546
Linear,0,-1.2502285714285717,-1.0855498657626377
Linear,1,-1.2502285714285717,-1.1911991690075565
Linear,0,-1.1861142857142857,-0.686893113823634
Linear,1,-1.1861142857142857,-0.802452737052587
Linear,0,-1.1861142857142857,-0.7844859712595449
Linear,1,-1.1861142857142857,-0.7430489438980007
Linear,0,-1.1861142857142857,-0.9283336951112063
Linear,1,-1.1861142857142857,-1.156492144510613
Linear,0,-1.1861142857142857,-0.3695699496089694
Linear,1,-1.1861142857142857,-1.0235111988875591
Linear,0,-1.1861142857142857,-1.119737172606873
Linear,1,-1.1861142857142857,-0.957515135291112
Linear,0,-1.1861142857142857,-0.8591123180606242
Linear,1,-1.1861142857142857,-1.1218242043507003
Linear,0,-1.1861142857142857,-0.6533472450938904
Linear,1,-1.1861142857142857,-0.8031919968059389
Linear,0,-1.1861142857142857,-0.8262215531646011
Linear,1,-1.1861142857142857,-1.1877059679854332
Linear,0,-1.1861142857142857,-0.6397040909257886
Linear,1,-1.1861142857142857,-1.0230037617804857
Linear,0,-1.1861142857142857,-1.201020953494671
Linear,1,-1.1861142857142857,-0.9381043790084972
Linear,0,-1.1861142857142857,-1.0037161708077285
Linear,1,-1.1861142857142857,-1.1844252284075503
Linear,0,-1.1861142857142857,-1.004183211142491
Linear,1,-1.1861142857142857,-1.1718024531750528
Linear,0,-1.1861142857142857,-1.0581464910297418
Linear,1,-1.1861142857142857,-0.9752989865574302
Linear,0,-1.1861142857142857,-0.663879669332796
Linear,1,-1.1861142857142857,-0.9848071490344034
