Iteration,Modelname,Metricname,Joint,Result
2,3-Channel CNN,R squared,3,0.9561629606658621
2,3-Channel CNN,Standard Deviation of Error,0,0.08309316856101047
2,3-Channel CNN,Standard Deviation of Error,3,0.16185701792836207
2,3-Channel CNN,Standard deviation per Recording (avg),0,0.07270746678113937
2,3-Channel CNN,Standard deviation per Recording (avg),3,0.15089139342308044
2,3-Channel CNN,Ratio of Outliers (>= 0.5 rad),0,0.0
2,3-Channel CNN,Ratio of Outliers (>= 0.5 rad),3,0.008550330353672756
2,4-Channel CNN,Mean Square Error,0,0.004995906937922979
2,4-Channel CNN,Mean Square Error,3,0.021751122708303323
2,4-Channel CNN,R squared,0,0.994095084001827
2,4-Channel CNN,R squared,3,0.9636060184837728
2,4-Channel CNN,Standard Deviation of Error,0,0.07032147279939155
2,4-Channel CNN,Standard Deviation of Error,3,0.1474774408463246
2,4-Channel CNN,Standard deviation per Recording (avg),0,0.06409180164337158
2,4-Channel CNN,Standard deviation per Recording (avg),3,0.1358972191810608
2,4-Channel CNN,Ratio of Outliers (>= 0.5 rad),0,0.000388651379712398
2,4-Channel CNN,Ratio of Outliers (>= 0.5 rad),3,0.003109211037699184
3,kNN,Mean Square Error,0,0.09328927322191992
3,kNN,Mean Square Error,3,0.34430307034589974
3,kNN,R squared,0,0.8728126985030881
3,kNN,R squared,3,0.3466405574128718
3,kNN,Standard Deviation of Error,0,0.2805941561862598
3,kNN,Standard Deviation of Error,3,0.5184519146267317
3,kNN,Standard deviation per Recording (avg),0,0.1920838898351285
3,kNN,Standard deviation per Recording (avg),3,0.23325100896108006
3,kNN,Ratio of Outliers (>= 0.5 rad),0,0.08045083560046638
3,kNN,Ratio of Outliers (>= 0.5 rad),3,0.37232802176447727
3,Linear,Mean Square Error,0,0.08855283895721427
3,Linear,Mean Square Error,3,0.1384554449918545
3,Linear,R squared,0,0.879270185757945
3,Linear,R squared,3,0.7372629518750728
3,Linear,Standard Deviation of Error,0,0.29572963431597354
3,Linear,Standard Deviation of Error,3,0.3720827442310183
3,Linear,Standard deviation per Recording (avg),0,0.24846488891099325
3,Linear,Standard deviation per Recording (avg),3,0.30874265922867755
3,Linear,Ratio of Outliers (>= 0.5 rad),0,0.08783521181500194
3,Linear,Ratio of Outliers (>= 0.5 rad),3,0.1772250291488535
3,3-Layer FC,Mean Square Error,0,0.04134087510063879
3,3-Layer FC,Mean Square Error,3,0.0950583732410101
3,3-Layer FC,R squared,0,0.9436373104433655
3,3-Layer FC,R squared,3,0.819614487632683
3,3-Layer FC,Standard Deviation of Error,0,0.2018322679378084
3,3-Layer FC,Standard Deviation of Error,3,0.3080481547502476
3,3-Layer FC,Standard deviation per Recording (avg),0,0.17183193564414978
3,3-Layer FC,Standard deviation per Recording (avg),3,0.26517051458358765
3,3-Layer FC,Ratio of Outliers (>= 0.5 rad),0,0.025262339681305868
3,3-Layer FC,Ratio of Outliers (>= 0.5 rad),3,0.10027205596579868
3,4-Layer FC,Mean Square Error,0,0.040585947851379894
3,4-Layer FC,Mean Square Error,3,0.09016498014223509
3,4-Layer FC,R squared,0,0.9446665516020067
3,4-Layer FC,R squared,3,0.8289003315961521
3,4-Layer FC,Standard Deviation of Error,0,0.19886144927528152
3,4-Layer FC,Standard Deviation of Error,3,0.30007756654572193
3,4-Layer FC,Standard deviation per Recording (avg),0,0.1562383621931076
3,4-Layer FC,Standard deviation per Recording (avg),3,0.24787159264087677
3,4-Layer FC,Ratio of Outliers (>= 0.5 rad),0,0.02137582588418189
3,4-Layer FC,Ratio of Outliers (>= 0.5 rad),3,0.09094442285270113
3,5-Layer FC,Mean Square Error,0,0.04393487530213868
3,5-Layer FC,Mean Square Error,3,0.09021437668783522
3,5-Layer FC,R squared,0,0.9401007421508204
3,5-Layer FC,R squared,3,0.8288065952856782
3,5-Layer FC,Standard Deviation of Error,0,0.20734592248215467
3,5-Layer FC,Standard Deviation of Error,3,0.3001833370752359
3,5-Layer FC,Standard deviation per Recording (avg),0,0.15464265644550323
3,5-Layer FC,Standard deviation per Recording (avg),3,0.2394077628850937
3,5-Layer FC,Ratio of Outliers (>= 0.5 rad),0,0.026428293820443063
3,5-Layer FC,Ratio of Outliers (>= 0.5 rad),3,0.09172172561212592
3,1-Channel CNN,Mean Square Error,0,0.026950151178090694
3,1-Channel CNN,Mean Square Error,3,0.07142964475231679
3,1-Channel CNN,R squared,0,0.9632571153692966
3,1-Channel CNN,R squared,3,0.8644530447181763
3,1-Channel CNN,Standard Deviation of Error,0,0.16236391633089575
3,1-Channel CNN,Standard Deviation of Error,3,0.2672574699598803
3,1-Channel CNN,Standard deviation per Recording (avg),0,0.15217328071594238
3,1-Channel CNN,Standard deviation per Recording (avg),3,0.2462431788444519
3,1-Channel CNN,Ratio of Outliers (>= 0.5 rad),0,0.006995724834823164
3,1-Channel CNN,Ratio of Outliers (>= 0.5 rad),3,0.060629615235134084
3,2-Channel CNN,Mean Square Error,0,0.007396695445207487
3,2-Channel CNN,Mean Square Error,3,0.038528387433416154
3,2-Channel CNN,R squared,0,0.9899156065731961
3,2-Channel CNN,R squared,3,0.9268874201093006
3,2-Channel CNN,Standard Deviation of Error,0,0.08595527388898729
3,2-Channel CNN,Standard Deviation of Error,3,0.19494343625945554
3,2-Channel CNN,Standard deviation per Recording (avg),0,0.08333249390125275
3,2-Channel CNN,Standard deviation per Recording (avg),3,0.18076181411743164
3,2-Channel CNN,Ratio of Outliers (>= 0.5 rad),0,0.000388651379712398
3,2-Channel CNN,Ratio of Outliers (>= 0.5 rad),3,0.022153128643606686
3,3-Channel CNN,Mean Square Error,0,0.005261187630275617
3,3-Channel CNN,Mean Square Error,3,0.024450354103371305
3,3-Channel CNN,R squared,0,0.9928270825331453
3,3-Channel CNN,R squared,3,0.9536023024366654
3,3-Channel CNN,Standard Deviation of Error,0,0.07166454835365703
3,3-Channel CNN,Standard Deviation of Error,3,0.15616330809196244
3,3-Channel CNN,Standard deviation per Recording (avg),0,0.06861954182386398
3,3-Channel CNN,Standard deviation per Recording (avg),3,0.14977392554283142
3,3-Channel CNN,Ratio of Outliers (>= 0.5 rad),0,0.0
3,3-Channel CNN,Ratio of Outliers (>= 0.5 rad),3,0.0058297706956859695
3,4-Channel CNN,Mean Square Error,0,0.005262659644267767
3,4-Channel CNN,Mean Square Error,3,0.02183541391597128
3,4-Channel CNN,R squared,0,0.9928250756412385
3,4-Channel CNN,R squared,3,0.9585644884012632
3,4-Channel CNN,Standard Deviation of Error,0,0.07177064549636916
3,4-Channel CNN,Standard Deviation of Error,3,0.14772755189655443
3,4-Channel CNN,Standard deviation per Recording (avg),0,0.06739718466997147
3,4-Channel CNN,Standard deviation per Recording (avg),3,0.13910546898841858
3,4-Channel CNN,Ratio of Outliers (>= 0.5 rad),0,0.0
3,4-Channel CNN,Ratio of Outliers (>= 0.5 rad),3,0.003109211037699184
4,kNN,Mean Square Error,0,0.18111371939370385
4,kNN,Mean Square Error,3,0.439332413525068
4,kNN,R squared,0,0.77738144371907
4,kNN,R squared,3,0.23629933818799964
4,kNN,Standard Deviation of Error,0,0.36671406815882446
4,kNN,Standard Deviation of Error,3,0.597792438356993
4,kNN,Standard deviation per Recording (avg),0,0.21567780114814653
4,kNN,Standard deviation per Recording (avg),3,0.22940577158487316
4,kNN,Ratio of Outliers (>= 0.5 rad),0,0.1721725612125923
4,kNN,Ratio of Outliers (>= 0.5 rad),3,0.4236300038865138
4,Linear,Mean Square Error,0,0.0967748335389552
4,Linear,Mean Square Error,3,0.15410343128413284
4,Linear,R squared,0,0.8810478090843157
4,Linear,R squared,3,0.7321188038121456
4,Linear,Standard Deviation of Error,0,0.3097115170726519
4,Linear,Standard Deviation of Error,3,0.39241261245205367
4,Linear,Standard deviation per Recording (avg),0,0.24644535162789954
4,Linear,Standard deviation per Recording (avg),3,0.3018484785045688
4,Linear,Ratio of Outliers (>= 0.5 rad),0,0.10959968907889624
4,Linear,Ratio of Outliers (>= 0.5 rad),3,0.20287602020987175
4,3-Layer FC,Mean Square Error,0,0.053036807315103324
4,3-Layer FC,Mean Square Error,3,0.11338933824089484
4,3-Layer FC,R squared,0,0.934809038687057
4,3-Layer FC,R squared,3,0.8028929576077021
4,3-Layer FC,Standard Deviation of Error,0,0.22746193426651934
4,3-Layer FC,Standard Deviation of Error,3,0.33647868293818356
4,3-Layer FC,Standard deviation per Recording (avg),0,0.18304625153541565
4,3-Layer FC,Standard deviation per Recording (avg),3,0.2605518102645874
4,3-Layer FC,Ratio of Outliers (>= 0.5 rad),0,0.046638165565487756
4,3-Layer FC,Ratio of Outliers (>= 0.5 rad),3,0.12942090944422852
4,4-Layer FC,Mean Square Error,0,0.05171636952388859
4,4-Layer FC,Mean Square Error,3,0.11011148694650932
4,4-Layer FC,R squared,0,0.9364320739586147
4,4-Layer FC,R squared,3,0.8085909146119619
4,4-Layer FC,Standard Deviation of Error,0,0.2241869901682737
4,4-Layer FC,Standard Deviation of Error,3,0.33175365590534417
4,4-Layer FC,Standard deviation per Recording (avg),0,0.16811197996139526
4,4-Layer FC,Standard deviation per Recording (avg),3,0.2472231239080429
4,4-Layer FC,Ratio of Outliers (>= 0.5 rad),0,0.041585697629226585
4,4-Layer FC,Ratio of Outliers (>= 0.5 rad),3,0.12087057909055578
4,5-Layer FC,Mean Square Error,0,0.05590119869607792
4,5-Layer FC,Mean Square Error,3,0.11361921545813924
4,5-Layer FC,R squared,0,0.9312882304567873
4,5-Layer FC,R squared,3,0.8024933572651358
4,5-Layer FC,Standard Deviation of Error,0,0.2320235795784803
4,5-Layer FC,Standard Deviation of Error,3,0.3367907633197494
4,5-Layer FC,Standard deviation per Recording (avg),0,0.1657472550868988
4,5-Layer FC,Standard deviation per Recording (avg),3,0.24205411970615387
4,5-Layer FC,Ratio of Outliers (>= 0.5 rad),0,0.04819277108433735
4,5-Layer FC,Ratio of Outliers (>= 0.5 rad),3,0.12592304702681695
4,1-Channel CNN,Mean Square Error,0,0.030899183911449923
4,1-Channel CNN,Mean Square Error,3,0.09010033581760996
4,1-Channel CNN,R squared,0,0.9620198197262297
4,1-Channel CNN,R squared,3,0.8433767143624017
4,1-Channel CNN,Standard Deviation of Error,0,0.17494465122427275
4,1-Channel CNN,Standard Deviation of Error,3,0.2999951693142862
4,1-Channel CNN,Standard deviation per Recording (avg),0,0.1547391563653946
4,1-Channel CNN,Standard deviation per Recording (avg),3,0.25037121772766113
4,1-Channel CNN,Ratio of Outliers (>= 0.5 rad),0,0.013991449669646328
4,1-Channel CNN,Ratio of Outliers (>= 0.5 rad),3,0.09249902837155072
4,2-Channel CNN,Mean Square Error,0,0.008619738104326653
4,2-Channel CNN,Mean Square Error,3,0.04533370751223229
4,2-Channel CNN,R squared,0,0.9894049238305708
4,2-Channel CNN,R squared,3,0.9211954743978662
4,2-Channel CNN,Standard Deviation of Error,0,0.09270375614553854
4,2-Channel CNN,Standard Deviation of Error,3,0.21233559251537043
4,2-Channel CNN,Standard deviation per Recording (avg),0,0.08498594164848328
4,2-Channel CNN,Standard deviation per Recording (avg),3,0.19560949504375458
4,2-Channel CNN,Ratio of Outliers (>= 0.5 rad),0,0.001554605518849592
