,Iteration,Modelname,Metricname,Result
251,2,3,R squared,0.49358523923268416
252,2,3,Standard Deviation of Error,0.2961762273704172
253,2,3,Standard deviation per Recording (avg),0.17376440294628032
254,2,3,Ratio of Outliers (>= 0.5 rad),0.11482720178372352
255,2,4,Mean Square Error,0.11112577243663455
256,2,4,R squared,0.5212215525548286
257,2,4,Standard Deviation of Error,0.2855549667152787
258,2,4,Standard deviation per Recording (avg),0.16124267709525983
259,2,4,Ratio of Outliers (>= 0.5 rad),0.11371237458193979
260,2,5,Mean Square Error,0.1080698795785428
261,2,5,R squared,0.5343876760028363
262,2,5,Standard Deviation of Error,0.2786248487954012
263,2,5,Standard deviation per Recording (avg),0.15188039141604803
264,2,5,Ratio of Outliers (>= 0.5 rad),0.12040133779264214
265,2,6,Mean Square Error,0.10715740746566524
266,2,6,R squared,0.5383190050902418
267,2,6,Standard Deviation of Error,0.27542590486041246
268,2,6,Standard deviation per Recording (avg),0.1439884518883272
269,2,6,Ratio of Outliers (>= 0.5 rad),0.11594202898550725
270,2,7,Mean Square Error,0.10657443817672965
271,2,7,R squared,0.5408306918479104
272,2,7,Standard Deviation of Error,0.27280222303300317
273,2,7,Standard deviation per Recording (avg),0.1401794913418107
274,2,7,Ratio of Outliers (>= 0.5 rad),0.11928651059085842
275,2,8,Mean Square Error,0.10694262839991299
276,2,8,R squared,0.539244367275717
277,2,8,Standard Deviation of Error,0.27194110401091753
278,2,8,Standard deviation per Recording (avg),0.13463806124752717
279,2,8,Ratio of Outliers (>= 0.5 rad),0.12374581939799331
280,2,9,Mean Square Error,0.1059077240786131
281,2,9,R squared,0.5437031878835898
282,2,9,Standard Deviation of Error,0.2704014258607356
283,2,9,Standard deviation per Recording (avg),0.13200435443102543
284,2,9,Ratio of Outliers (>= 0.5 rad),0.11817168338907469
285,2,10,Mean Square Error,0.10534492872170974
286,2,10,R squared,0.5461279565155577
287,2,10,Standard Deviation of Error,0.2687694340104826
288,2,10,Standard deviation per Recording (avg),0.1289199830142849
289,2,10,Ratio of Outliers (>= 0.5 rad),0.12151616499442586
290,2,11,Mean Square Error,0.10433434780534756
291,2,11,R squared,0.550481981252974
292,2,11,Standard Deviation of Error,0.2664801395982436
293,2,11,Standard deviation per Recording (avg),0.1243437291072334
294,2,11,Ratio of Outliers (>= 0.5 rad),0.12151616499442586
295,2,12,Mean Square Error,0.10688965979188683
296,2,12,R squared,0.5394725792139382
297,2,12,Standard Deviation of Error,0.2690626539326535
298,2,12,Standard deviation per Recording (avg),0.12402080630287084
299,2,12,Ratio of Outliers (>= 0.5 rad),0.11594202898550725
300,2,13,Mean Square Error,0.10763618667582742
301,2,13,R squared,0.5362562147772099
302,2,13,Standard Deviation of Error,0.2696865128896046
303,2,13,Standard deviation per Recording (avg),0.12281500666284856
304,2,13,Ratio of Outliers (>= 0.5 rad),0.11482720178372352
305,2,14,Mean Square Error,0.1081145924706293
306,2,14,R squared,0.5341950333009271
307,2,14,Standard Deviation of Error,0.26936690360502347
308,2,14,Standard deviation per Recording (avg),0.12020234347380482
309,2,14,Ratio of Outliers (>= 0.5 rad),0.11371237458193979
310,2,15,Mean Square Error,0.10835393389996494
311,2,15,R squared,0.5331638457066004
312,2,15,Standard Deviation of Error,0.26972284872743774
313,2,15,Standard deviation per Recording (avg),0.11887254661480365
314,2,15,Ratio of Outliers (>= 0.5 rad),0.11928651059085842
315,2,16,Mean Square Error,0.10725836647502222
316,2,16,R squared,0.5378840295063096
317,2,16,Standard Deviation of Error,0.2675552191513762
318,2,16,Standard deviation per Recording (avg),0.1166278735084373
319,2,16,Ratio of Outliers (>= 0.5 rad),0.11817168338907469
320,2,17,Mean Square Error,0.1066286880106012
321,2,17,R squared,0.5405969598281849
322,2,17,Standard Deviation of Error,0.2653833624324205
323,2,17,Standard deviation per Recording (avg),0.11360243748358301
324,2,17,Ratio of Outliers (>= 0.5 rad),0.11817168338907469
325,2,18,Mean Square Error,0.10694493380225244
326,2,18,R squared,0.5392344345937782
327,2,18,Standard Deviation of Error,0.2648016740774502
328,2,18,Standard deviation per Recording (avg),0.11286151266310619
329,2,18,Ratio of Outliers (>= 0.5 rad),0.11817168338907469
330,2,19,Mean Square Error,0.10717043062998569
331,2,19,R squared,0.5382628956004498
332,2,19,Standard Deviation of Error,0.26441177460341
333,2,19,Standard deviation per Recording (avg),0.11221596735367217
334,2,19,Ratio of Outliers (>= 0.5 rad),0.12040133779264214
335,2,20,Mean Square Error,0.10790417132859949
336,2,20,R squared,0.5351016196443257
337,2,20,Standard Deviation of Error,0.264881374822875
