Iteration,Modelname,Metricname,Result
4,4-Channel CNN,Mean Square Error,0.0191319989512116
4,4-Channel CNN,R squared,0.9252103017130536
3,Linear,R squared,0.6992761213598585
3,Linear,Standard Deviation of Error,0.2087297336568382
4,4-Channel CNN,Standard Deviation of Error,0.1379159512390948
4,4-Channel CNN,Standard deviation per Recording (avg),0.0979462638497352
3,Linear,Standard deviation per Recording (avg),0.1574281909724009
3,Linear,Ratio of Outliers (>= 0.5 rad),0.0100334448160535
4,4-Channel CNN,Ratio of Outliers (>= 0.5 rad),0.0066889632107023
3,3-Layer FC,Mean Square Error,0.0187282520310885
3,3-Layer FC,R squared,0.870832594492117
3,3-Layer FC,Standard Deviation of Error,0.13650373456256
3,3-Layer FC,Standard deviation per Recording (avg),0.0976720675826072
3,3-Layer FC,Ratio of Outliers (>= 0.5 rad),0.0
3,4-Layer FC,Mean Square Error,0.0186843543323083
3,4-Layer FC,R squared,0.8711353537592281
3,4-Layer FC,Standard Deviation of Error,0.1366848097578694
3,4-Layer FC,Standard deviation per Recording (avg),0.0920876935124397
3,4-Layer FC,Ratio of Outliers (>= 0.5 rad),0.0
3,5-Layer FC,Mean Square Error,0.0179570409976913
3,5-Layer FC,R squared,0.8761515814492347
3,5-Layer FC,Standard Deviation of Error,0.1339519496949995
3,5-Layer FC,Standard deviation per Recording (avg),0.0910942777991294
3,5-Layer FC,Ratio of Outliers (>= 0.5 rad),0.0
5,3-Channel CNN,Mean Square Error,0.0128248773376395
3,1-Channel CNN,Mean Square Error,0.0239594436217019
3,1-Channel CNN,R squared,0.8347534428258252
5,3-Channel CNN,R squared,0.9610461639794824
5,3-Channel CNN,Standard Deviation of Error,0.1123554829866679
3,1-Channel CNN,Standard Deviation of Error,0.1547489230602253
5,3-Channel CNN,Standard deviation per Recording (avg),0.0948597639799118
3,1-Channel CNN,Standard deviation per Recording (avg),0.1275768876075744
3,1-Channel CNN,Ratio of Outliers (>= 0.5 rad),0.0022296544035674
5,3-Channel CNN,Ratio of Outliers (>= 0.5 rad),0.0022296544035674
5,4-Channel CNN,Mean Square Error,0.0114079257291854
3,2-Channel CNN,Mean Square Error,0.0123210124956386
3,2-Channel CNN,R squared,0.9150228641386268
5,4-Channel CNN,R squared,0.9653499634741362
5,4-Channel CNN,Standard Deviation of Error,0.1065661822030235
3,2-Channel CNN,Standard Deviation of Error,0.1109516756186515
5,4-Channel CNN,Standard deviation per Recording (avg),0.0832150131464004
3,2-Channel CNN,Standard deviation per Recording (avg),0.0936482399702072
5,4-Channel CNN,Ratio of Outliers (>= 0.5 rad),0.0011148272017837
3,2-Channel CNN,Ratio of Outliers (>= 0.5 rad),0.0
4,Linear,Mean Square Error,0.0435015400285507
4,Linear,R squared,0.8299463081693939
4,Linear,Standard Deviation of Error,0.2070048801970425
4,Linear,Standard deviation per Recording (avg),0.1404537154283258
4,Linear,Ratio of Outliers (>= 0.5 rad),0.027870680044593
4,3-Layer FC,Mean Square Error,0.0313109169772149
1,kNN,Mean Square Error,0.1734770704539669
6,3-Channel CNN,Mean Square Error,0.0069330701794113
4,3-Layer FC,R squared,0.8776011832435716
6,3-Channel CNN,R squared,0.971205445424286
1,kNN,R squared,-0.0271794246220378
6,3-Channel CNN,Standard Deviation of Error,0.0811833168657029
1,kNN,Standard Deviation of Error,0.3319012009440349
4,3-Layer FC,Standard Deviation of Error,0.1764682567112128
1,kNN,Standard deviation per Recording (avg),0.1276532195087126
4,3-Layer FC,Standard deviation per Recording (avg),0.1115141734480857
6,3-Channel CNN,Standard deviation per Recording (avg),0.0689625367522239
1,kNN,Ratio of Outliers (>= 0.5 rad),0.1950947603121516
4,3-Layer FC,Ratio of Outliers (>= 0.5 rad),0.0089186176142697
