Iteration,Modelname,Metricname,Joint,Result
2,5-Layer FC,Mean Square Error,0,0.6456148952497202
2,5-Layer FC,Mean Square Error,3,0.026926863212045075
2,5-Layer FC,R squared,0,0.2369149844084547
2,5-Layer FC,R squared,3,0.9549459687588886
2,5-Layer FC,Standard Deviation of Error,0,0.8011450570835007
2,5-Layer FC,Standard Deviation of Error,3,0.16409162944444028
2,5-Layer FC,Standard deviation per Recording (avg),0,0.43959034184614815
2,5-Layer FC,Standard deviation per Recording (avg),3,0.12856598794460297
2,5-Layer FC,Ratio of Outliers (>= 0.5 rad),0,0.5794792071511854
2,5-Layer FC,Ratio of Outliers (>= 0.5 rad),3,0.0027205596579867857
2,1-Channel CNN,Mean Square Error,0,0.5953533798277006
2,1-Channel CNN,Mean Square Error,3,0.028806377723401656
2,1-Channel CNN,R squared,0,0.2963216207200773
2,1-Channel CNN,R squared,3,0.9518011648191967
2,1-Channel CNN,Standard Deviation of Error,0,0.7710850480971523
2,1-Channel CNN,Standard Deviation of Error,3,0.169268528419154
2,1-Channel CNN,Standard deviation per Recording (avg),0,0.44606453279654185
2,1-Channel CNN,Standard deviation per Recording (avg),3,0.15927165627479553
2,1-Channel CNN,Ratio of Outliers (>= 0.5 rad),0,0.5328410415856977
2,1-Channel CNN,Ratio of Outliers (>= 0.5 rad),3,0.004663816556548776
2,2-Channel CNN,Mean Square Error,0,0.6090415037836003
2,2-Channel CNN,Mean Square Error,3,0.020929872156042285
2,2-Channel CNN,R squared,0,0.2801429322183714
2,2-Channel CNN,R squared,3,0.9649801350211122
2,2-Channel CNN,Standard Deviation of Error,0,0.757483480659992
2,2-Channel CNN,Standard Deviation of Error,3,0.14447322538075189
2,2-Channel CNN,Standard deviation per Recording (avg),0,0.6006977578004201
2,2-Channel CNN,Standard deviation per Recording (avg),3,0.13262827605009078
2,2-Channel CNN,Ratio of Outliers (>= 0.5 rad),0,0.500971628449281
2,2-Channel CNN,Ratio of Outliers (>= 0.5 rad),3,0.00194325689856199
2,3-Channel CNN,Mean Square Error,0,0.43925665605885367
2,3-Channel CNN,Mean Square Error,3,0.015464541057629363
2,3-Channel CNN,R squared,0,0.4808202618873736
2,3-Channel CNN,R squared,3,0.974124727768951
2,3-Channel CNN,Standard Deviation of Error,0,0.6578466567843475
2,3-Channel CNN,Standard Deviation of Error,3,0.12138462606958611
2,3-Channel CNN,Standard deviation per Recording (avg),0,0.5286295086145401
2,3-Channel CNN,Standard deviation per Recording (avg),3,0.11511905759572982
2,3-Channel CNN,Ratio of Outliers (>= 0.5 rad),0,0.3983676642052079
2,3-Channel CNN,Ratio of Outliers (>= 0.5 rad),3,0.001165954139137194
2,4-Channel CNN,Mean Square Error,0,0.34721988280027
2,4-Channel CNN,Mean Square Error,3,0.012391385323982877
2,4-Channel CNN,R squared,0,0.589603195914719
2,4-Channel CNN,R squared,3,0.9792667323664481
2,4-Channel CNN,Standard Deviation of Error,0,0.5891671091157186
2,4-Channel CNN,Standard Deviation of Error,3,0.11087130340426209
2,4-Channel CNN,Standard deviation per Recording (avg),0,0.49656556447347006
2,4-Channel CNN,Standard deviation per Recording (avg),3,0.10396601110696793
2,4-Channel CNN,Ratio of Outliers (>= 0.5 rad),0,0.33618344345122425
2,4-Channel CNN,Ratio of Outliers (>= 0.5 rad),3,0.0
3,kNN,Mean Square Error,0,0.774956976292266
3,kNN,Mean Square Error,3,0.13002044306257285
3,kNN,R squared,0,-0.05654898132125452
3,kNN,R squared,3,0.7532694549631811
3,kNN,Standard Deviation of Error,0,0.8751460346231933
3,kNN,Standard Deviation of Error,3,0.32321844976918146
3,kNN,Standard deviation per Recording (avg),0,0.2956763588969738
3,kNN,Standard deviation per Recording (avg),3,0.14663390224496475
3,kNN,Ratio of Outliers (>= 0.5 rad),0,0.6587640886125146
3,kNN,Ratio of Outliers (>= 0.5 rad),3,0.1760590750097163
3,Linear,Mean Square Error,0,0.6508450604412417
3,Linear,Mean Square Error,3,0.03311346382212504
3,Linear,R squared,0,0.11266082293086521
3,Linear,R squared,3,0.9371629354242548
3,Linear,Standard Deviation of Error,0,0.8013410519888197
3,Linear,Standard Deviation of Error,3,0.1819080253171262
3,Linear,Standard deviation per Recording (avg),0,0.4036853288015965
3,Linear,Standard deviation per Recording (avg),3,0.1694310463029882
3,Linear,Ratio of Outliers (>= 0.5 rad),0,0.5685969685192382
3,Linear,Ratio of Outliers (>= 0.5 rad),3,0.00777302759424796
3,3-Layer FC,Mean Square Error,0,0.5784046796467235
3,3-Layer FC,Mean Square Error,3,0.026044875105024064
3,3-Layer FC,R squared,0,0.21142348057046445
3,3-Layer FC,R squared,3,0.9505764933673861
3,3-Layer FC,Standard Deviation of Error,0,0.7579081766718233
3,3-Layer FC,Standard Deviation of Error,3,0.16078528291826366
3,3-Layer FC,Standard deviation per Recording (avg),0,0.44495892098971773
3,3-Layer FC,Standard deviation per Recording (avg),3,0.14715514302253724
3,3-Layer FC,Ratio of Outliers (>= 0.5 rad),0,0.5145744267392149
3,3-Layer FC,Ratio of Outliers (>= 0.5 rad),3,0.004275165176836378
3,4-Layer FC,Mean Square Error,0,0.5808120977585215
3,4-Layer FC,Mean Square Error,3,0.02274122023328551
3,4-Layer FC,R squared,0,0.20814129171166607
3,4-Layer FC,R squared,3,0.9568456041927147
3,4-Layer FC,Standard Deviation of Error,0,0.760465363859482
3,4-Layer FC,Standard Deviation of Error,3,0.15001971295083416
3,4-Layer FC,Standard deviation per Recording (avg),0,0.4585865225110735
3,4-Layer FC,Standard deviation per Recording (avg),3,0.12923399716615677
3,4-Layer FC,Ratio of Outliers (>= 0.5 rad),0,0.5118538670812282
3,4-Layer FC,Ratio of Outliers (>= 0.5 rad),3,0.003109211037699184
3,5-Layer FC,Mean Square Error,0,0.5702370188631659
3,5-Layer FC,Mean Square Error,3,0.024364137609727964
3,5-Layer FC,R squared,0,0.22255898092034543
3,5-Layer FC,R squared,3,0.9537659093431389
3,5-Layer FC,Standard Deviation of Error,0,0.7493812057538805
3,5-Layer FC,Standard Deviation of Error,3,0.15607918446991073
3,5-Layer FC,Standard deviation per Recording (avg),0,0.4514835349151066
3,5-Layer FC,Standard deviation per Recording (avg),3,0.12834229499101638
3,5-Layer FC,Ratio of Outliers (>= 0.5 rad),0,0.5102992615623786
3,5-Layer FC,Ratio of Outliers (>= 0.5 rad),3,0.003109211037699184
3,1-Channel CNN,Mean Square Error,0,0.5867575649021969
3,1-Channel CNN,Mean Square Error,3,0.02823935027830816
3,1-Channel CNN,R squared,0,0.20003545171499482
3,1-Channel CNN,R squared,3,0.9464121939478435
3,1-Channel CNN,Standard Deviation of Error,0,0.7510493637109766
3,1-Channel CNN,Standard Deviation of Error,3,0.16472494533664853
3,1-Channel CNN,Standard deviation per Recording (avg),0,0.48012007985796246
